Název,Kategorie,Adresa,E-mail,Telefon,Webová stránka,web,Matched,Source,New Contact,New Matched
Telerovský Roman Mgr.,Psychoterapeuti,"U Nesypky 28, Praha 5, 15000",rtelerovsky@gmail.com,+420257325118,http://www.psychoterapeuti.cz/adresar-psychoterapeutu/item/60-telerovsky-roman-mgr,,matched,"scraped_contacts_email, scraped_contacts_telefon",,
Trapková Ludmila PhDr.,Psychoterapeuti,"Ovenecká 34, Praha 7, 17000",trapkova@mybox.cz,+420233375453,http://www.psychoterapeuti.cz/adresar-psychoterapeutu/item/61-trapkova-ludmila-phdr,,matched,"scraped_contacts_email, scraped_contacts_telefon",,
Turbová Jarmila PhDr.,Psychoterapeuti,"Herčítyova 23, Brno, 61200",zcechacek@seznam.cz,+420549247757,http://www.psychoterapeuti.cz/adresar-psychoterapeutu/item/78-turbova-jarmila-phdr,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
Večeřová Procházková Alena MUDr.,Psychoterapeuti,"Božkovská 2967/4, 141 00 Praha 4",alena.vecerova.prochazkova@gmail.com,+420737407739,http://www.psychoterapeuti.cz/mspsychiatrie.cz,,matched,"scraped_contacts_email, scraped_contacts_telefon",,
Vlachová Marie PhDr.,Psychoterapeuti,"Svojšovická 3159, Praha 4 Záběhlice, 141 00",info@vlachova.cz,+420272765642,http://www.psychoterapeuti.cz/adresar-psychoterapeutu/item/63-vlachova-marie-phdr,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
Vrba Luděk PhDr.,Psychoterapeuti,"Vratislavova 2, Praha 2, 12800",vrba.psychoterapie@gmail.com,+420224919906,http://www.psychoterapeuti.cz/adresar-psychoterapeutu/item/64-vrba-ludek-phdr,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
Weimerová Monika MUDr.,Psychoterapeuti,"Stará cesta 83, Frýdek-Místek, 73801",monika.weimerova@seznam.cz,+420558646327,http://www.psychoterapeuti.cz/adresar-psychoterapeutu/item/101-weimerova-monika-mudr,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
Zahradník Petr MUDr.,Psychoterapeuti,"Škroupova 48, Brno, 63600",zahradnik@alfa95.cz,+420548531396,http://www.psychoterapeuti.cz/adresar-psychoterapeutu/item/79-zahradnik-petr-mudr,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
"Zvánovcová Irena, MUDr.",Psychoterapeuti,"Na Výšince 149/3, 153 00, Praha 5",izvanovcova@gmail.com,+420774979714,http://www.psychoterapie-iz.cz/,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
"Bílý kruh bezpečí, z.s. - Intervenční centrum Ostrava",Intervenční centra,"Jurečkova 643/20, 702 00 Ostrava",bkb.ostrava@bkb.cz,centrala.praha@bkb.cz,https://www.bkb.cz/,,new_email_match,,"['centrala.praha@bkb.cz', '116006@bkb.cz']",new_email_match
Intervenční centrum Liberec,Intervenční centra,"Tanvaldská 269, 463 11, Liberec ",info.ic@cipslk.cz,+420776776501,http://www.cipslk.cz/,,new_email_match,,['alena.zemanova@cipslk.cz'],new_email_match
Centrum sociálních služeb Praha,Intervenční centra,"Chelčického 842/39, Praha 3-Žižkov, 130 00 Praha",icpraha@csspraha.cz,+420734510292,http://www.csspraha.cz/,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
Diecézní charita České Budějovice - Intervenční centrum pro osoby ohrožené domácím násilím,Intervenční centra,"Kanovnická 404/18, 370 01 České Budějovice ",ic@dchcb.charita.cz,+420603281300,http://www.dchcb.cz/,,new_contact_both_match_with_email,,"['+420739529373', 'sekretariat@dchcb.charita.cz']",new_contact_both_match_with_email
Diecézní charita Plzeň - Intervenční centrum Plzeňského kraje,Intervenční centra,"Cukrovarská 327/16, Plzeň 3-Jižní Předměstí, 301 00 Plzeň ",ic@dchp.charita.cz,+420777167004,http://www.dchp.cz/,,matched,scraped_contacts_telefon,,
Oblastní charita Hradec Králové - Intervenční centrum Hradec Králové,Intervenční centra,"Kotěrova 847/5, Hradec Králové, 500 03 Hradec Králové ",intervencni.centrum@charitahk.cz,+420774591383,http://www.charitahk.cz/,,matched,scraped_contacts_telefon,,
"Pomoc v nouzi, o.p.s.",Intervenční centra,"Josefa Kajetána Tyla 461, Sokolov, 356 01 Sokolov ",vrstala@pomocvnouziops.cz,+420733729819,http://www.pomocvnouziops.cz/,,new_contact_both_match_with_email,,"['+420733729819', 'ps.sokolov@pomocvnouziops.cz', 'pavlovicova@pomocvnouziops.cz', 'info@pomocvnouziops.cz', 'poradna@pomocvnouziops.cz', 'ndc.sokolov@pomocvnouziops.cz', 'kozlova@pomocvnouziops.cz', 'domacinasili@pomocvnouziops.cz', 'tocikova@pomocvnouziops.cz', 'hlousek@pomocvnouziops.cz', 'perglova@pomocvnouziops.cz', 'beranek@pomocvnouziops.cz', 'nocleharna.sokolov@pomocvnouziops.cz', 'drasar@pomocvnouziops.cz', 'ps.kynsperk@pomocvnouziops.cz', 'ad.sokolov@pomocvnouziops.cz']",new_contact_both_match_with_email
Intervenční centrum proFem,Intervenční centra,"Dlouhá 97, Příbram III, 261 01 Příbram ",ic@profem.cz,+420774433034,http://www.profem.cz/,,new_contact_both_match_with_email,,"['+420608222277', 'pavlina.madlova@profem.cz', 'administrativa@profem.cz', 'eva.michalkova@profem.cz', 'irena.filipova@profem.cz', 'iva.peterkova@profem.cz', 'poradna@profem.cz', 'petra.presserova@profem.cz', 'marketa.pekarkova@profem.cz', 'barbora.venclova@profem.cz', 'andrea.neubert@profem.cz', 'nada.gubova@profem.cz', 'jitka.polakova@profem.cz', 'barbora.holasova@profem.cz', 'info@profem.cz']",new_contact_both_match_with_email
"Psychocentrum - manželská a rodinná poradna Kraje Vysočina, příspěvková organizace",Intervenční centra,"třída Legionářů 1468/36, Jihlava, 586 01 Jihlava ",ic.vysocina@psychocentrum.cz,+420567215532,http://www.intervencni-centrum.cz/,,matched,"scraped_contacts_email, scraped_contacts_telefon",,
Intervenční centrum Respondeo,Intervenční centra,"Náměstí Přemyslovců 14/11, Nymburk, 288 02 Nymburk ",obeti@respondeo.cz,+420325511148,http://www.respondeo.cz/,,matched,"scraped_contacts_email, scraped_contacts_telefon",,
"SKP-CENTRUM, o.p.s. - Intervenční centrum pro osoby ohrožené domácím násilím",Intervenční centra,"Erno Košťála 1014, Pardubice III-Studánka, 530 12 Pardubice",ic.pardubice@skp-centrum.cz,info@skp-centrum.cz,http://www.skp-centrum.cz/,,new_email_match,,['info@skp-centrum.cz'],new_email_match
Slezská diakonie - INTERVENČNÍ CENTRUM Havířov,Intervenční centra,"Opletalova 607/4, Šumbark, 736 01 Havířov ",ic.havirov@slezskadiakonie.cz,+420596611239,http://www.slezskadiakonie.cz/,,new_email_match,,"['ustredi@slezskadiakonie.cz', 'r.nedelova@slezskadiakonie.cz', 'h.mihulkova@slezskadiakonie.cz', 'm.stebel@slezskadiakonie.cz', 'v.nyberova@slezskadiakonie.cz', 'v.sasynova@slezskadiakonie.cz', 'm.vrbovska@slezskadiakonie.cz', 'h.klusova@slezskadiakonie.cz', 'l.waszutova@slezskadiakonie.cz']",new_email_match
"Spirála, Ústecký kraj, z. s. - Intervenční centrum",Intervenční centra,"K Chatám 22/22, 403 40 Ústí nad Labem-město-Skorotice",vedouci.ic@spirala-ul.cz,+420475603390,http://www.spirala-ul.cz/,,new_contact_both_match_with_email,,"['+420475603390', 'intervencnicentrum@spirala-ul.cztel', 'vedouci.ic@spirala-ul.czmgr', '', 'deti@spirala-ul.cz', 'mail@spirala-ul.cz', 'vedouci.cki@spirala-ul.czmgr']",new_contact_both_match_with_email
"SPONDEA, z.ú.",Intervenční centra,"Sýpka 1351/25, Brno-sever, Černá Pole, 613 00 Brno",intervencni-centrum@spondea.cz,,http://www.spondea.cz/,,matched,scraped_contacts_email,,
"Středisko sociální prevence Olomouc, příspěvková organizace",Intervenční centra,"Na Vozovce 622/26, Nová Ulice, 779 00 Olomouc ",intervencnicentrum@ssp-ol.cz,+420774406453,http://ssp-ol.cz/,,matched,scraped_contacts_telefon,,
"Centrum sociálních služeb Ostrava, o.p.s.",Krizová centra - pro děti a mládež,"Syllabova 1161/19, Vítkovice, 703 00 Ostrava ",kcd@css-ostrava.cz,+420778111281,http://www.css-ostrava.cz/,,matched,maps_contacts_telefon,,
"Dětské krizové centrum, z.ú.",Krizová centra - pro děti a mládež,"Cílkova 796/7, Praha 12-Kamýk, 142 00 Praha",ambulance@ditekrize.cz,+420241480511,http://www.ditekrize.cz/,,matched,scraped_contacts_telefon,,
Dům Přemysla Pittra pro děti - krizová pomoc,Krizová centra - pro děti a mládež,"Karlovarská 337/18, Praha 6-Ruzyně, 161 00 Praha",info@dumtriprani.cz,+420607531818,http://www.dumtriprani.cz/,,new_contact_both_match,,['+420607199291'],new_contact_both_match
"Euripidia Educa, z.s.",Krizová centra - pro děti a mládež,"Anenské náměstí 340, Kutná Hora-Vnitřní Město, 284 01 Kutná Hora",jarosova.euripidia@gmail.com,+420604533230,https://euripidia-educa7.webnode.cz/,,matched,"maps_contacts_telefon, scraped_contacts_telefon",,
"Krizové centrum pro děti a rodinu v Jihočeském kraji, z.ú.",Krizová centra - pro děti a mládež,"Nová 1871/5, České Budějovice 3, 370 01 České Budějovice",pomoc@ditevkrizi.cz,+420776763176,http://www.ditevkrizi.cz/,,matched,"maps_contacts_telefon, scraped_contacts_telefon",,
"Povídej, z. s. - Poradna pro lidi v tísni",Krizová centra - pro děti a mládež,"Česká 235/36, Kutná Hora-Vnitřní Město, 284 01 Kutná Hora",linkaduvery@kh.cz,+420327511111,http://www.linkaduvery.kh.cz/,,matched,maps_contacts_telefon,,
Doléčovací centrum Podolí,Krizová centra - pro děti a mládež,Pod Vyšehradem 1 Praha 140 00,podoli@magdalena-ops.cz,+420739639119,http://www.magdalena-ops.cz/,,new_contact_both_match_with_email,,"['+420736227787', 'petricek@magdalena-ops.cz', '', 'ambulance.pb@magdalena-ops.cz', '263kral@magdalena-ops.czing', 'jirovy@magdalena-ops.cz', 'jandova@magdalena-ops.cz', '817stastna@magdalena-ops.czpavel', 'hegerova@magdalena-ops.cz', 'info@magdalena-ops.cz', 'bartova@magdalena-ops.cze', 'heresova@magdalena-ops.cz', 'baranova@magdalena-ops.cz', '401zatrepalek@magdalena-ops.cz', 'buchta@magdalena-ops.cz', 'krejcikova@magdalena-ops.cz', '596dolejsi@magdalena-ops.czmgr', '300schubert@magdalena-ops.czmgr', 'cas.pb@magdalena-ops.cz', 'vit@magdalena-ops.cz', 'cas.bn@magdalena-ops.cz', 'chaloupkova@magdalena-ops.cz', 'vavrincova@magdalena-ops.cz', '684zapotocka@magdalena-ops.czbc', 'cermakova@magdalena-ops.cz']",new_contact_both_match_with_email
Modré dveře – Praha,Krizová centra - pro děti a mládež,"K Horkám 23/16, 102 00 Praha – Hostivař",,+420725515934,http://www.modredvere.cz/cz/modre-dvere-praha,,matched,"maps_contacts_telefon, scraped_contacts_telefon",,
Dětské krizové centrum,Krizová centra - pro děti a mládež,"V Zápolí 1250/21, Praha 4, 141 00",problem@ditekrize.cz,,http://ditekrize.cz/,,matched,scraped_contacts_email,,
Centrum krizové intervence v Kutné Hoře,Krizová centra - pro děti a mládež,Česká 235 Kutná Hora 284 01,linkaduvery@kh.cz,+420602183444,http://www.linkaduvery.kh.cz/,,new_phone_match,,"['+420602183444', '+420602352828', '+420602442068', '+420602696992', '+420603886632']",new_phone_match
K-centrum Benešov,Krizová centra - pro děti a mládež,Máchova 400 Benešov 256 01,benesov@magdalena-ops.cz,+420736227787,http://www.magdalena-ops.cz/,,new_contact_both_match_with_email,,"['+420736227787', 'petricek@magdalena-ops.cz', '', 'ambulance.pb@magdalena-ops.cz', '263kral@magdalena-ops.czing', 'jirovy@magdalena-ops.cz', 'jandova@magdalena-ops.cz', '817stastna@magdalena-ops.czpavel', 'hegerova@magdalena-ops.cz', 'info@magdalena-ops.cz', 'bartova@magdalena-ops.cze', 'heresova@magdalena-ops.cz', 'baranova@magdalena-ops.cz', '401zatrepalek@magdalena-ops.cz', 'buchta@magdalena-ops.cz', 'krejcikova@magdalena-ops.cz', '596dolejsi@magdalena-ops.czmgr', '300schubert@magdalena-ops.czmgr', 'cas.pb@magdalena-ops.cz', 'vit@magdalena-ops.cz', 'cas.bn@magdalena-ops.cz', 'chaloupkova@magdalena-ops.cz', 'vavrincova@magdalena-ops.cz', '684zapotocka@magdalena-ops.czbc', 'cermakova@magdalena-ops.cz']",new_contact_both_match_with_email
"Terapeutické centrum Modré dveře, z. ú.",Krizová centra - pro děti a mládež,"Tyrše a Fügnera 105/7, 251 01 Říčany",,+420725515905,http://www.modredvere.cz/cz/modre-dvere-ricany,,matched,"maps_contacts_telefon, scraped_contacts_telefon",,
DĚTSKÉ INFORMAČNÍ CENTRUM S LINKOU POMOCI,Krizová centra - pro děti a mládež,"Myslbekova 4/1596, 360 01 Karlovy Vary",veronika@zachrannykruh.czv,+420353230000,https://www.zachranny-kruh.cz/,,new_email_match,,"['veronika@zachrannykruh.czv', 'objednavky@zachrannykruh.czsv', '', 'recepce@svetzachranaru.cz']",new_email_match
K – centrum Cheb,Krizová centra - pro děti a mládež,"Kostelní nám. 15, Cheb, 35002",,,http://www.kotec.cz/regiony/cheb/kontaktni-centrum/,,unmatched,,,
K-centrum Tachov,Krizová centra - pro děti a mládež,"Rokycanova 131, 347 01, Tachov",vs.kc.tachov@kotec.cz,vs.kc.cheb@kotec.cz,http://www.kotec.cz/regiony/tachov/,,new_email_match,,"['vs.kc.cheb@kotec.cz', 'ndc.tachov@kotec.cz', 'cpr.as@kotec.cz', 'cpr.ml@kotec.cz', 'nzdm.sokolov@kotec.cz', 'vs.tp.tachov@kotec.cz', 'klub.restart@kotec.cz', 'tp.tachov@kotec.cz', 'mzdy@kotec.cz', 'vs.tp.sokolov@kotec.cz', 'klub.relax@kotec.cz', 'vs.nzdm.ml@kotec.cz', 'tp.cheb@kotec.cz', 'tp.sokolov@kotec.cz', 'cpr.cheb@kotec.cz', 'asistentka@kotec.cz', 'projekty@kotec.cz', 'cpr.tachov@kotec.cz', 'klubvaute@kotec.cz', 'kc.sokolov@kotec.cz', 'kc.cheb@kotec.cz', 'cpr.sokolov@kotec.cz']",new_email_match
Centrum J. J. Pestalozziho Jihlava Krizové centrum,Krizová centra - pro děti a mládež,Štefanikovo nám. 1972/2 586 01 Jihlava,kcji@pestalozzi.cz,+420567155028,https://pestalozzi.cz/sluzby/krizove-centrum-jihlava/,,unmatched,,,
Krizové centrum Pardubice,Krizová centra - pro děti a mládež,Erno Košťála 1013 530 12 Pardubice,kc.pardubice@skp-centrum.cz,+420608432117,https://www.skp-centrum.cz/nase-sluzby-a-projekty/krizove-centrum-pardubice,,matched,"scraped_contacts_email, scraped_contacts_telefon",,
Centrum J. J. Pestalozziho Žamberk Krizové centrum,Krizová centra - pro děti a mládež,Masarykovo náměstí 86 564 01 Žamberk,.cz,+420725838127,https://pestalozzi.cz/,,matched,"maps_contacts_telefon, scraped_contacts_email",,
Centrum J. J. Pestalozziho Svitavy Krizové centrum,Krizová centra - pro děti a mládež,Milady Horákové 10 568 02 Svitavy,kcsvi@pestalozzi.cz,+420461321100,https://pestalozzi.cz/,,matched,maps_contacts_telefon,,
Centrum J. J. Pestalozziho Chrudim Krizové centrum,Krizová centra - pro děti a mládež,"Štěpánkova 107, 108 537 01 Chrudim",kc@pestalozzi.cz,+420469623899,https://pestalozzi.cz/,,new_email_match,,['pestalozzi@pestalozzi.cz'],new_email_match
Krizové centrum pro děti a dospívající Krizové centrum,Krizová centra - pro děti a mládež,Hapalova 4 621 00 Brno,+420541229298,+420541229298,http://www.krizovecentrum.cz/,,new_contact_both_match_with_email,,"['+420541229298', 'kchapalova@cssbrno.cz', 'asminska@cssbrno.cz']",new_contact_both_match_with_email
Poradna pro ženy a dívky Šumperk Poradna/krizové centrum,Krizová centra - pro děti a mládež,Komenského 9 787 01 Šumperk,praha@poradnaprozeny.eu,+420603213845,https://www.poradnaprozeny.eu/#utm_source=firmy.cz&utm_medium=ppd&utm_campaign=firmy.cz-12891669,,matched,"maps_contacts_telefon, scraped_contacts_email",,
"Dětské centrum Zlín, p.o. Krizové centrum",Krizová centra - pro děti a mládež,Burešov 3675 760 01 Zlín,+420577436110,+420577436110,http://www.dczlin.cz/,,new_contact_both_match_with_email,,"['+420577436110', 'kp@.cz', 'lucie.masarikova@.cz', 'martina.vlastnikova@.cz', 'marek.miklas@.cz', 'adela.gregor@.cz', 'bianca.sivikova@.cz', 'anna.hostasova@.cz', 'renata.dorazilova@.cz', 'jiri.hruby@.cz', '.cz', 'lucie.polachova@.cz', 'sas@.cz', 'epodatelna@.cz', 'stanislav.vana@.cz', 'marie.gajdosova@.cz', 'nikola.strelcova@.cz']",new_contact_both_match_with_email
"Centrum sociálních služeb Ostrava, o.p.s. – Krizové centrum pro děti a rodinu",Krizová centra - pro děti a mládež,"Syllabova 1161/19, 703 00 Ostrava-Vítkovice",kcd@css-ostrava.cz,+420778111281,https://www.css-ostrava.cz/sluzba/krizove-centrum-pro-deti-a-rodinu/,,matched,maps_contacts_telefon,,
Linka důvěry Liberec,Telefonická krizová pomoc - pro děti a mládež,"Tanvaldská 269, 463 11 Liberec 30",pomoc@linka-duvery.cz,+420485177177,http://www.linka-duvery.cz/,,new_contact_both_match,,['+420485177177'],new_contact_both_match
Linka důvěry Karviná,Telefonická krizová pomoc - pro děti a mládež,"Karola Śliwky 620/7, Fryštát, 733 01 Karviná",ld@cepp.cz,nj@cepp.cz,http://www.cepp.cz/,,new_email_match,,"['nj@cepp.cz', 'nrp@cepp.cz', 'karvina@cepp.cz', 'cepp@cepp.cz', 'bruntal@cepp.cz', 'opava@cepp.cz', 'fm@cepp.cz']",new_email_match
Pražská linka důvěry,Telefonická krizová pomoc - pro děti a mládež,"Šromova 861/1, Praha 14-Černý Most, 198 00 Praha",linka.duvery@csspraha.cz,+420222580697,http://www.csspraha.cz/,,matched,"scraped_contacts_email, scraped_contacts_telefon",,
Linka pro rodinu a školu 116 000,Telefonická krizová pomoc - pro děti a mládež,"Francouzská 366/34, Praha 2-Vinohrady, 120 00 Praha",116000@cestazkrize.net,+420116000,http://www.linkaztracenedite.cz/,,new_email_match,,"['lucie.hermankova@cestazkrize.net', 'jarmila.kubankova@cestazkrize.net', 'petr.kuzvart@cestazkrize.net', 'hana.tryznova@cestazkrize.net', 'europehilde.demarre@missingchildre.eu', 'helena.brydlova@cestazkrize.net']",new_email_match
Dětské krizové centrum,Telefonická krizová pomoc - pro děti a mládež,"Roztylské náměstí 2772/44, Praha 4-Záběhlice, 141 00 Praha",reditelka@ditekrize.cz,+420241484149,http://www.ditekrize.cz/,,matched,"maps_contacts_telefon, scraped_contacts_telefon",,
La Strada - Informační a SOS linka,Telefonická krizová pomoc - pro děti a mládež,"P.O.BOX 305, 111 21 Praha 1",pomoc@strada.cz,+420222717171,http://www.strada.cz/,,unmatched,,,
Linka bezpečí,Telefonická krizová pomoc - pro děti a mládež,"Ústavní 95, Praha 8-Bohnice, 181 00 Praha",pomoc@linkabezpeci.cz,+420116111,http://www.linkabezpeci.cz/,,matched,scraped_contacts_email,,
"Městská nemocnice Ostrava, příspěvková organizace",Telefonická krizová pomoc - pro děti a mládež,"Nemocniční 898/20a, Moravská Ostrava, 702 00 Ostrava",mnof@mnof.cz,+420596193242,http://www.mnof.cz/,,matched,scraped_contacts_email,,
"Povídej, z. s. - Linka důvěry",Telefonická krizová pomoc - pro děti a mládež,"Česká 235/36, Kutná Hora-Vnitřní Město, 284 01 Kutná Hora",linkaduvery@kh.cz,+420602874470,http://www.linkaduvery.kh.cz/,,new_phone_match,,"['+420602183444', '+420602352828', '+420602442068', '+420602696992', '+420603886632']",new_phone_match
Linka důvěry SOS,Telefonická krizová pomoc - pro děti a mládež,"Čechova 778, Mladá Boleslav II, 293 01 Mladá Boleslav",linka.duvery-mb@centrum.cz,+420326741481,http://www.linka-duvery-mb.cz/,,matched,"maps_contacts_telefon, scraped_contacts_telefon",,
"Linka důvěry České Budějovice, o.p.s.",Telefonická krizová pomoc - pro děti a mládež,"Nádražní 105/47, České Budějovice 6, 370 01 České Budějovice",spramv@gmail.com,+420387313030,http://www.rodinnaporadnacb.cz/,,matched,"scraped_contacts_email, scraped_contacts_telefon",,
AGARTA z. s. - Terénní program,Terénní programy pro děti a mládež,"Ohrada 1879, Vsetín, 755 01 Vsetín",terenniprogramy@seznam.cz,+420739829578,http://www.agarta.cz/,,new_email_match,,"['agarta@agarta.cz', 'vendula.patkosova@agarta.cz', 'iveta.olsakova@agarta.cz', 'jakub.olsak@agarta.cz', 'terenniprogramy@agarta.cz', 'kcvalmez@agarta.cz', 'kcvm@agarta.cz', 'kcvsetin@agarta.cz', 'sarka.vlckova@agarta.cz', 'poradna@agarta.cz', 'jiri.tuhovcak@agarta.cz']",new_email_match
"ARKA CZ, z.s.",Terénní programy pro děti a mládež,"Gregorova 2427/2, Moravská Ostrava, 702 00 Ostrava",arka@email.cz,+420734377810,http://www.arka-alkohol.cz/,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
Streetwork v Třinci,Terénní programy pro děti a mládež,"Jablunkovská 110, Lyžbice, 739 61 Třinec",streetwork.trinec@bunkr.cz,+420739401802,http://www.bunkr.cz/,,matched,scraped_contacts_telefon,,
Streetwork pro města Český Krumlov a Kaplice,Terénní programy pro děti a mládež,"T. G. Masaryka 114, Latrán, 381 01 Český Krumlov",cpdm@icmck.cz,+420736634126,http://www.icmck.cz/,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
"Člověk v tísni, o.p.s. - Plzeň",Terénní programy pro děti a mládež,"Mikulášské náměstí 552/17, Plzeň 2-Slovany, Východní Předměstí, 326 00 Plzeň",jakub.palecek@clovekvtisni.cz,+420770183628,http://www.clovekvtisni.cz/plzen,,matched,scraped_contacts_email,,
"Člověk v tísni, o.p.s. - Liberec",Terénní programy pro děti a mládež,"Tatranská 597/9c, Liberec III-Jeřáb, 460 07 Liberec",lukas.prucha@clovekvtisni.cz,+420731690480,http://www.clovekvtisni.cz/,,new_contact_both_match_with_email,,"['+420770183629', 'iryna.avdeyeva@clovekvtisni.cz', 'martina.blahova@clovekvtisni.cz', 'dary@clovekvtisni.cz', 'jakprezitdluhy@clovekvtisni.cz', 'jakub.palecek@clovekvtisni.cz', 'adriana.cerna@clovekvtisni.cz', 'dary@clovekvtisni.czklub', 'sona.belsanova@clovekvtisni.cz', 'kariera@clovekvtisni.cz', 'ladislav.brustik@clovekvtisni.cz', 'anna.byshliaha@clovekvtisni.cz', '', 'tomas.urban@clovekvtisni.cz', 'petr.stefan@clovekvtisni.cz', 'eva.kroupova@clovekvtisni.cz', 'michal.puchel@clovekvtisni.cz', 'ondrej.lukas@clovekvtisni.cz', 'jan.kovalik@clovekvtisni.cz', 'katerina.benesova@clovekvtisni.cz', 'pomocsp@clovekvtisni.czdary', 'michala.baslova@clovekvtisni.cz', 'milada.vachova@peopleinneed.net', 'anna.bimova@clovekvtisni.cz', 'telkp@clovekvtisni.czskute', 'tereza.hronova@clovekvtisni.cz', 'ukrajinadary.ukrajina@clovekvtisni.cz', 'vaclav.zeman@clovekvtisni.cz', 'media@clovekvtisni.czdary', 'dary@clovekvtisni.cz', 'petr.stefan@clovekvtisni.cz', 'jakprezitdluhy@clovekvtisni.cz', 'eva.kroupova@clovekvtisni.cz', 'michal.puchel@clovekvtisni.cz', 'vaclav.zeman@clovekvtisni.cz', 'ondrej.lukas@clovekvtisni.cz', 'jan.kovalik@clovekvtisni.cz', 'adriana.cerna@clovekvtisni.cz', 'pomocsp@clovekvtisni.czdary', 'dary@clovekvtisni.czklub', 'milada.vachova@peopleinneed.net', 'telkp@clovekvtisni.czskute', 'kariera@clovekvtisni.cz', 'tereza.hronova@clovekvtisni.cz', 'ukrajinadary.ukrajina@clovekvtisni.cz', 'ladislav.brustik@clovekvtisni.cz', '', 'tomas.urban@clovekvtisni.cz', 'media@clovekvtisni.czdary']",new_contact_both_match_with_email
Charitní terénní služba,Terénní programy pro děti a mládež,"Soukopovo náměstí 91, 679 11 Doubravice nad Svitavou",teren@blansko.charita.cz,+420731626173,http://www.blansko.charita.cz/,,new_email_match,,"['668blansko@blansko.charita.czwww.blansko.charita.czi', 'blansko@blansko.charita.cz']",new_email_match
"DRUG-OUT Klub, z.s. - Terénní program Postoloprty",Terénní programy pro děti a mládež,"Velká Hradební 13/47, Ústí nad Labem-centrum, 400 01 Ústí nad Labem",drugout@volny.cz,+420475210626,http://www.drugout.cz/,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
Streetwork Beztíže,Terénní programy pro děti a mládež,"Na Balkáně 2866/17a, Praha 3-Žižkov, 130 00 Praha",info@ulita.cz,+420271771026,http://www.ulita.cz/,,matched,scraped_contacts_email,,
Rebel,Terénní programy pro děti a mládež,"Husova 3294, Frýdek, 738 01 Frýdek-Místek",rebel@charitafm.cz,+420733676671,http://www.charitafm.cz/,,matched,scraped_contacts_telefon,,
Terénní program Cheiron T,Terénní programy pro děti a mládež,"Děkanská 302, Tábor, 390 01 Tábor",cheiront@cheiront.cz,+420381257624,http://www.cheiront.cz/,,matched,"maps_contacts_telefon, scraped_contacts_email",,
Terén Jahoda,Terénní programy pro děti a mládež,"Vybíralova 969/2, Praha 14-Černý Most, 198 00 Praha",vendula.fendrychova@jahoda.cz,+420774674060,http://www.jahoda.cz/,,matched,"scraped_contacts_email, scraped_contacts_telefon",,
"Krystal Help, z.ú.",Terénní programy pro děti a mládež,"E. F. Buriana 908/1, Pod Bezručovým vrchem, 794 01 Krnov",krystal.krnov@seznam.cz,+420554620177,http://www.krystalhelp.cz/,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
Terénní program LUMA,Terénní programy pro děti a mládež,"Nerudova 691/19, Mladá Boleslav II, 293 01 Mladá Boleslav",luma@luma-mb.cz,+420774607840,http://www.luma-mb.cz/,,matched,scraped_contacts_email,,
Terénní program Magdaléna - Berounsko a Rakovnicko,Terénní programy pro děti a mládež,"Havlíčkova 1732, Beroun-Město, 266 01 Beroun",gelbicova@magdalena-ops.cz,+420739652383,http://www.magdalena-ops.eu/,,matched,scraped_contacts_telefon,,
Terénní program Magdaléna - Příbramsko a Praha západ,Terénní programy pro děti a mládež,"Žežická 193, Příbram VII, 261 01 Příbram",chaloupkova@magdalena-ops.cz,+420737391214,http://www.magdalena-ops.eu/,,matched,"scraped_contacts_email, scraped_contacts_telefon",,
